Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Nippon India Nifty Auto ETF,Regular,Index Funds/ETFs,-,69.95,3%,1%,9%,20%,33%,27%,,,,
Invesco India Nifty 50 Exchange Traded Fund,Regular,Index Funds/ETFs,2,69.39,1%,0%,1%,8%,10%,8%,5%,17%,14%,14%
HDFC Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,69.38,3%,4%,14%,33%,,,,,,
HDFC Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,69.38,3%,4%,14%,32%,,,,,,
HSBC Nifty Next 50 Index Fund - Direct - Growth,Direct Plan,Index Funds/ETFs,-,68.36,1%,3%,6%,13%,10%,7%,3%,17%,,
HSBC Nifty Next 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,68.36,1%,3%,5%,13%,10%,6%,2%,16%,,
Kotak Nifty Alpha 50 ETF,Regular,Index Funds/ETFs,-,67.69,3%,5%,14%,35%,28%,24%,,,,
SBI Nifty IT ETF,Regular,Index Funds/ETFs,-,67.32,2%,1%,2%,13%,11%,7%,6%,15%,,
ICICI Prudential S&P BSE 500 ETF,Regular,Index Funds/ETFs,-,66.78,1%,1%,4%,13%,14%,12%,7%,20%,15%,
Nippon India Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,63.84,2%,4%,8%,15%,22%,19%,,,,
Nippon India Nifty Alpha Low Volatility 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,63.84,2%,4%,7%,15%,22%,19%,,,,
Edelweiss Nifty Large Mid Cap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,62.48,2%,1%,6%,17%,19%,18%,,,,
Edelweiss Nifty Large Mid Cap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,62.48,2%,1%,5%,17%,18%,17%,,,,
Sundaram Nifty 100 Equal Weight Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,62.05,1%,1%,5%,14%,14%,12%,6%,20%,13%,12%
Sundaram Nifty 100 Equal Weight Fund - Growth,Regular,Index Funds/ETFs,3,62.05,1%,1%,5%,13%,14%,11%,5%,19%,13%,12%
UTI Nifty 500 Value 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,60.77,4%,6%,16%,32%,,,,,,
UTI Nifty 500 Value 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,60.77,4%,6%,16%,31%,,,,,,
Shriram Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,59.65,3%,4%,9%,16%,16%,15%,8%,17%,13%,
Shriram Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,2,59.65,2%,4%,9%,15%,15%,13%,6%,15%,11%,
JM Large Cap Fund - (Direct) - Growth,Direct Plan,Large Cap Fund,4,57.96,2%,1%,6%,15%,16%,15%,8%,17%,14%,14%
JM Large Cap Fund - Growth,Regular,Large Cap Fund,4,57.96,2%,1%,5%,15%,15%,14%,7%,16%,13%,13%
ICICI Prudential Nifty 100 ETF,Regular,Index Funds/ETFs,-,56.51,1%,0%,2%,9%,8%,6%,4%,16%,13%,14%
SBI Nifty 200 Quality 30 ETF,Regular,Index Funds/ETFs,-,55.71,1%,0%,4%,11%,18%,14%,5%,16%,,
Motilal Oswal S&P BSE Enhanced Value Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,54.79,4%,6%,16%,32%,36%,45%,,,,
Motilal Oswal S&P BSE Enhanced Value Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,54.79,4%,6%,17%,33%,37%,46%,,,,
ICICI Prudential Nifty Financial Services Ex-Bank ETF,Regular,Index Funds/ETFs,-,54.47,2%,1%,10%,22%,26%,,,,,
HDFC Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,54.26,2%,2%,9%,26%,,,,,,
HDFC Nifty Midcap 150 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,54.26,2%,2%,9%,25%,,,,,,
Tata Nifty India Digital ETF,Regular,Index Funds/ETFs,-,53.66,1%,2%,8%,24%,27%,19%,,,,
LIC MF Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,53.43,1%,3%,6%,13%,10%,7%,3%,17%,12%,15%
LIC MF Nifty Next 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,53.43,1%,3%,5%,13%,10%,6%,2%,16%,11%,14%
HDFC Nifty IT ETF,Regular,Index Funds/ETFs,-,50.96,2%,1%,2%,13%,11%,,,,,
Quantum Nifty 50 ETF,Regular,Index Funds/ETFs,3,48.75,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,48.22,3%,4%,11%,21%,24%,19%,,,,
ICICI Prudential Nifty 200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,48.22,3%,4%,10%,21%,23%,19%,,,,
UTI Silver Exchange Traded Fund,Regular,Index Funds/ETFs,-,47.08,1%,3%,0%,3%,,,,,,
Aditya Birla Sun Life Nifty Next 50 ETF,Regular,Index Funds/ETFs,-,46.77,1%,3%,6%,14%,11%,7%,3%,17%,,
Baroda BNP Paribas Nifty SDL December 2028 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,46.76,0%,1%,1%,2%,,,,,,
ICICI Prudential Nifty India Consumption ETF,Regular,Index Funds/ETFs,-,46.21,1%,1%,5%,12%,15%,11%,9%,,,
Tata Nifty India Digital ETF,Regular,Index Funds/ETFs,-,45.54,1%,2%,8%,24%,27%,19%,,,,
Nippon India ETF Nifty Infrastructure BeES,Regular,Index Funds/ETFs,-,45.18,2%,1%,6%,18%,21%,20%,10%,24%,16%,11%
Invesco India Nifty G-Sec Sep 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,43.36,0%,1%,1%,2%,,,,,,
Invesco India Nifty G-Sec Sep 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,43.36,0%,1%,1%,2%,,,,,,
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,42.28,1%,3%,6%,13%,10%,7%,,,,
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,42.28,1%,3%,5%,13%,10%,6%,,,,
Axis Silver ETF,Regular,Index Funds/ETFs,-,41.56,3%,5%,4%,2%,4%,13%,,,,
DSP Silver ETF,Regular,Index Funds/ETFs,-,40.38,3%,4%,3%,1%,2%,12%,,,,
UTI Nifty50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,39.94,2%,1%,5%,,,,,,,
UTI Nifty50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,39.94,2%,1%,5%,,,,,,,
Kotak Nifty G-Sec July 2033 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,39.04,0%,1%,,,,,,,,
Kotak Nifty G-Sec July 2033 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,39.04,0%,1%,,,,,,,,
ICICI Prudential Nifty Auto Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,37.12,3%,1%,9%,19%,32%,27%,,,,
ICICI Prudential Nifty Auto Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,37.12,3%,1%,9%,19%,31%,26%,,,,
Mirae Asset Nifty Bank ETF,Regular,Index Funds/ETFs,-,35.50,1%,0%,0%,,,,,,,
Taurus Largecap Equity Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,1,35.15,3%,2%,6%,11%,11%,7%,6%,15%,11%,12%
Taurus Largecap Equity Fund - Growth,Regular,Large Cap Fund,2,35.15,3%,2%,6%,11%,10%,7%,5%,15%,11%,11%
ICICI Prudential S&P BSE Midcap Select ETF,Regular,Index Funds/ETFs,-,34.24,2%,4%,11%,24%,26%,21%,6%,22%,14%,
Bandhan Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,34.15,3%,4%,11%,21%,24%,19%,,,,
Bandhan Nifty 200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,34.15,3%,4%,10%,21%,23%,19%,,,,
Motilal Oswal MSCI EAFE Top 100 Select Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,33.43,3%,3%,1%,0%,9%,14%,,,,
Motilal Oswal MSCI EAFE Top 100 Select Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,33.43,3%,3%,1%,0%,9%,13%,,,,
Motilal Oswal Nifty 50 ETF,Regular,Index Funds/ETFs,2,33.40,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
ICICI Prudential Nifty Auto ETF,Regular,Index Funds/ETFs,-,32.50,3%,1%,9%,20%,33%,27%,,,,
Groww Nifty Total Market Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,32.44,1%,,,,,,,,,
Groww Nifty Total Market Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,32.44,1%,,,,,,,,,
DSP Nifty IT ETF,Regular,Index Funds/ETFs,-,28.05,2%,1%,2%,,,,,,,
Kotak Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,26.74,3%,4%,10%,,,,,,,
Kotak Nifty 200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,26.74,3%,3%,10%,,,,,,,
Motilal Oswal S&P BSE Low Volatility Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,25.35,1%,1%,3%,14%,17%,18%,,,,
Motilal Oswal S&P BSE Low Volatility Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,25.35,1%,1%,3%,14%,16%,18%,,,,
Nippon India ETF S&P BSE Sensex Next 50,Regular,Index Funds/ETFs,-,25.27,1%,2%,7%,17%,20%,16%,8%,23%,,
Mirae Asset Gold ETF,Regular,Index Funds/ETFs,-,24.57,0%,4%,3%,1%,,,,,,
Kotak S&P BSE Sensex ETF,Regular,Index Funds/ETFs,3,24.36,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
Motilal Oswal Nifty 500 ETF,Regular,Index Funds/ETFs,-,24.06,1%,1%,,,,,,,,
Edelweiss Nifty 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,21.69,1%,0%,1%,8%,9%,7%,5%,91%,75%,
Edelweiss Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,21.69,1%,0%,1%,8%,9%,8%,5%,,,
Kotak S&P BSE Sensex ETF,Regular,Index Funds/ETFs,3,21.38,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
UTI Bank ETF,Regular,Index Funds/ETFs,-,20.96,1%,0%,0%,1%,4%,5%,8%,16%,,
Kotak Nifty Smallcap 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,20.91,3%,7%,20%,42%,,,,,,
Kotak Nifty Smallcap 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,20.91,3%,7%,20%,41%,,,,,,
ICICI Prudential Nifty Commodities ETF,Regular,Index Funds/ETFs,-,20.80,2%,3%,7%,14%,12%,,,,,
ICICI Prudential Nifty50 Equal Weight Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,20.70,2%,1%,5%,14%,17%,15%,,,,
ICICI Prudential Nifty50 Equal Weight Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,20.70,2%,1%,5%,14%,16%,14%,,,,
Kotak Nifty Midcap 50 ETF,Regular,Index Funds/ETFs,-,19.85,2%,1%,9%,28%,35%,36%,,,,
HDFC S&P BSE 500 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,19.65,1%,1%,4%,13%,,,,,,
HDFC S&P BSE 500 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,19.65,1%,1%,4%,12%,,,,,,
Bandhan Nifty 50 ETF,Regular,Index Funds/ETFs,1,19.30,1%,0%,1%,8%,10%,8%,5%,17%,14%,
Motilal Oswal S&P BSE Low Volatility ETF,Regular,Index Funds/ETFs,-,19.21,1%,2%,3%,14%,17%,19%,,,,
Motilal Oswal Nasdaq Q50 ETF,Regular,Index Funds/ETFs,-,18.99,4%,3%,3%,3%,4%,3%,,,,
Bandhan Nifty IT Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,18.58,2%,1%,,,,,,,,
Bandhan Nifty IT Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,18.58,2%,1%,,,,,,,,
HDFC Nifty50 Value 20 ETF,Regular,Index Funds/ETFs,-,18.24,2%,0%,4%,12%,16%,15%,,,,
Mirae Asset Nifty 200 Alpha 30 ETF,Regular,Index Funds/ETFs,-,17.48,4%,,,,,,,,,
Motilal Oswal Nifty 200 Momentum 30 ETF,Regular,Index Funds/ETFs,-,17.06,3%,4%,11%,22%,24%,20%,,,,
Navi Nifty India Manufacturing Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,17.05,2%,1%,3%,17%,21%,18%,,,,
Navi Nifty India Manufacturing Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,17.05,2%,1%,3%,16%,20%,17%,,,,
Kotak Nifty 100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,15.83,1%,2%,3%,12%,17%,16%,,,,
ICICI Prudential Nifty PSU Bank ETF,Regular,Index Funds/ETFs,-,15.58,4%,3%,15%,30%,,,,,,
Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,15.33,3%,4%,14%,33%,36%,,,,,
Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,15.33,3%,4%,14%,33%,35%,,,,,
Edelweiss Nifty 100 Quality 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,15.25,1%,1%,4%,10%,17%,14%,7%,67%,47%,
Edelweiss Nifty 100 Quality 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,15.25,1%,1%,4%,11%,18%,15%,7%,,,
Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Regular,Index Funds/ETFs,-,14.22,3%,4%,11%,22%,24%,20%,,,,
ICICI Prudential Nifty 200 Quality 30 ETF,Regular,Index Funds/ETFs,-,13.94,1%,0%,4%,,,,,,,
UTI S&P BSE Housing Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,13.26,1%,0%,8%,,,,,,,
UTI S&P BSE Housing Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,13.26,1%,0%,7%,,,,,,,
Mirae Asset Silver ETF,Regular,Index Funds/ETFs,-,12.57,4%,5%,3%,,,,,,,
DSP Nifty PSU Bank ETF,Regular,Index Funds/ETFs,-,12.54,4%,3%,15%,,,,,,,
Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Regular,Index Funds/ETFs,-,12.50,1%,0%,4%,11%,18%,14%,,,,
Aditya Birla Sun Life SENSEX ETF,Regular,Index Funds/ETFs,4,11.64,1%,1%,1%,7%,9%,8%,5%,16%,14%,
ICICI Prudential Nifty PSU Bank ETF,Regular,Index Funds/ETFs,-,11.54,4%,3%,15%,30%,,,,,,
Axis Nifty India Consumption ETF,Regular,Index Funds/ETFs,-,11.46,1%,1%,5%,12%,15%,11%,9%,,,
Mirae Asset S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,11.16,1%,1%,,,,,,,,
ICICI Prudential Nifty 200 Momentum 30 ETF,Regular,Index Funds/ETFs,-,11.01,3%,4%,11%,22%,24%,20%,,,,
Mirae Asset Nifty IT ETF,Regular,Index Funds/ETFs,-,11.00,2%,,,,,,,,,
HDFC Nifty NEXT 50 ETF,Regular,Index Funds/ETFs,-,10.59,1%,3%,6%,14%,10%,7%,,,,
Motilal Oswal S&P BSE Enhanced Value ETF,Regular,Index Funds/ETFs,-,10.56,4%,6%,17%,33%,38%,47%,,,,
Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,10.42,2%,1%,,,,,,,,
Kotak Nifty Financial Services Ex-Bank Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,10.42,2%,1%,,,,,,,,
HDFC Nifty NEXT 50 ETF,Regular,Index Funds/ETFs,-,10.38,1%,3%,6%,14%,10%,7%,,,,
SBI S&P BSE Sensex Next 50 ETF,Regular,Index Funds/ETFs,-,10.23,1%,2%,7%,17%,20%,17%,9%,23%,14%,
HDFC Nifty100 Quality 30 ETF,Regular,Index Funds/ETFs,-,9.94,1%,1%,4%,11%,17%,14%,,,,
HDFC Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,9.85,2%,2%,9%,26%,,,,,,
HDFC Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,9.18,2%,2%,9%,26%,,,,,,
SBI Nifty Consumption ETF,Regular,Index Funds/ETFs,-,9.03,1%,1%,5%,12%,15%,11%,9%,,,
Motilal Oswal S&P BSE Financials ex Bank 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,8.46,2%,1%,8%,21%,25%,23%,,,,
Motilal Oswal S&P BSE Financials ex Bank 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,8.46,2%,1%,8%,21%,24%,22%,,,,
HDFC Nifty 100 ETF,Regular,Index Funds/ETFs,-,8.26,1%,0%,2%,9%,9%,6%,,,,
Tata Nifty Private Bank ETF,Regular,Index Funds/ETFs,-,8.21,1%,0%,1%,4%,6%,7%,8%,14%,,
HDFC Nifty 200 Momentum 30 ETF,Regular,Index Funds/ETFs,-,8.17,3%,4%,11%,21%,24%,20%,,,,
Motilal Oswal S&P BSE Healthcare ETF,Regular,Index Funds/ETFs,-,8.14,1%,2%,4%,25%,26%,22%,,,,
HDFC Nifty 100 ETF,Regular,Index Funds/ETFs,-,8.04,1%,0%,2%,9%,9%,6%,,,,
Edelweiss Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,7.71,1%,3%,6%,13%,10%,,,,,
Edelweiss Nifty Next 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,7.71,1%,2%,5%,13%,10%,,,,,
HDFC Nifty Growth Sectors 15 ETF,Regular,Index Funds/ETFs,-,7.64,1%,0%,3%,10%,16%,13%,,,,
Motilal Oswal S&P BSE Quality ETF,Regular,Index Funds/ETFs,-,7.59,1%,1%,4%,12%,15%,14%,,,,
HDFC Nifty 200 Momentum 30 ETF,Regular,Index Funds/ETFs,-,7.32,3%,4%,11%,21%,24%,20%,,,,
Motilal Oswal S&P BSE Quality Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,7.14,1%,1%,4%,12%,15%,14%,,,,
Motilal Oswal S&P BSE Quality Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,7.14,1%,1%,4%,11%,15%,14%,,,,
UTI S&P BSE Sensex Next 50 ETF,Regular,Index Funds/ETFs,-,7.14,1%,2%,7%,17%,20%,17%,9%,23%,,
HDFC S&P BSE 500 ETF,Regular,Index Funds/ETFs,-,6.72,1%,1%,4%,13%,,,,,,
Kotak S&P BSE Housing Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,6.54,1%,0%,,,,,,,,
Kotak S&P BSE Housing Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,6.54,1%,0%,,,,,,,,
DSP S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,5.97,1%,1%,1%,,,,,,,
UTI S&P BSE Sensex Next 50 ETF,Regular,Index Funds/ETFs,-,5.89,1%,2%,7%,17%,20%,17%,9%,23%,,
Navi S&P BSE Sensex Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,5.88,1%,1%,,,,,,,,
Navi S&P BSE Sensex Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,5.88,1%,1%,,,,,,,,
Mirae Asset Nifty 100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,5.88,1%,2%,3%,12%,,,,,,
HDFC Nifty100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,5.63,1%,2%,3%,12%,17%,15%,,,,
Navi Nifty 50 ETF,Regular,Index Funds/ETFs,-,5.59,1%,0%,,,,,,,,
HDFC Nifty100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,5.57,1%,2%,3%,12%,17%,15%,,,,
UTI Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,4.18,2%,2%,,,,,,,,
Edelweiss ETF - Nifty 50,Regular,Index Funds/ETFs,-,2.91,1%,0%,1%,8%,9%,7%,5%,91%,75%,
Taurus Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,1,2.80,1%,0%,1%,7%,9%,7%,5%,16%,14%,13%
Taurus Nifty 50 Index Fund - Growth,Regular,Index Funds/ETFs,1,2.80,1%,0%,1%,7%,8%,6%,4%,16%,13%,13%
Bandhan S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,0.96,1%,1%,1%,6%,9%,7%,5%,16%,14%,
Kotak Nifty India Consumption ETF,Regular,Index Funds/ETFs,-,0.76,1%,1%,5%,12%,15%,11%,,,,
BOI AXA Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,0.00,2%,2%,8%,16%,17%,15%,5%,,,
BOI AXA Bluechip Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,0.00,2%,2%,7%,15%,16%,14%,4%,,,
ITI Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,0.00,2%,1%,4%,12%,13%,12%,5%,,,
ITI Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,0.00,1%,1%,3%,11%,11%,10%,3%,,,
WhiteOak Capital Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,-,0.00,1%,1%,4%,11%,13%,,,,,
WhiteOak Capital Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,-,0.00,1%,1%,3%,10%,12%,,,,,
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,3%,4%,14%,36%,46%,,,,,
Mahindra Manulife Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,3%,4%,13%,35%,44%,,,,,
ICICI Prudential Smallcap Index Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,3%,4%,14%,33%,36%,36%,15%,,,
ICICI Prudential Smallcap Index Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,3%,4%,14%,33%,35%,35%,14%,,,
PGIM India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,2%,3%,9%,22%,19%,16%,7%,,,
PGIM India Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,2%,3%,8%,21%,17%,14%,6%,,,
Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,2%,,,,,,,,,
Baroda BNP Paribas Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,2%,,,,,,,,,
Quantum Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,1%,,,,,,,,,
Quantum Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,0.00,1%,,,,,,,,,
Quantum Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,1%,,,,,,,,,
Quantum Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,0.00,1%,,,,,,,,,
ICICI Prudential Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,0.00,2%,2%,9%,26%,30%,30%,,,,
ICICI Prudential Midcap 150 Index Fund - Growth,Regular,Mid Cap Fund,-,0.00,2%,2%,9%,25%,29%,29%,,,,
Canara Robeco Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,-,0.00,1%,2%,7%,20%,24%,,,,,
Canara Robeco Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,-,0.00,1%,2%,7%,19%,22%,,,,,
360 ONE Flexicap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,2%,1%,7%,,,,,,,
360 ONE Flexicap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,2%,1%,7%,,,,,,,
Nippon India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,2%,2%,6%,19%,23%,22%,10%,,,
Nippon India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,2%,2%,6%,18%,22%,20%,8%,,,
NJ Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,2%,4%,,,,,,,,
NJ Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,2%,4%,,,,,,,,
Bajaj Finserv Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,1%,2%,4%,,,,,,,
Bajaj Finserv Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,1%,2%,4%,,,,,,,
Mirae Asset Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,1%,0%,3%,13%,,,,,,
Mirae Asset Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,1%,0%,3%,12%,,,,,,
Helios Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,,,,,,,,,,
Helios Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,,,,,,,,,,
Helios Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,0.00,,,,,,,,,,
Helios Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,0.00,,,,,,,,,,
Mirae Asset NYSE FANG+ ETF - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,4%,8%,9%,29%,84%,74%,7%,,,
Mirae Asset Nifty 200 Alpha 30 ETF,Regular,Index Funds/ETFs,-,0.00,4%,,,,,,,,,
DSP Nifty PSU Bank ETF,Regular,Index Funds/ETFs,-,0.00,4%,3%,15%,,,,,,,
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,4%,7%,19%,41%,47%,47%,9%,,,
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,0.00,4%,7%,19%,41%,46%,46%,8%,,,
Motilal Oswal Nifty Microcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,5%,17%,,,,,,,
Motilal Oswal Nifty Microcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,5%,17%,,,,,,,
Kotak Nifty Smallcap 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,7%,20%,42%,,,,,,
Kotak Nifty Smallcap 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,7%,20%,41%,,,,,,
