Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Motilal Oswal Nasdaq 100 ETF (MOFN100),Regular,Index Funds/ETFs,-,6042.57,3%,5%,4%,20%,45%,38%,4%,14%,22%,20%
ICICI Prudential Smallcap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,6002.84,2%,1%,8%,22%,29%,29%,16%,38%,26%,19%
ICICI Prudential Smallcap Fund - Regular Plan - Growth,Regular,Small Cap Fund,4,6002.84,2%,1%,7%,22%,27%,27%,14%,36%,24%,18%
Bandhan Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,3,5967.14,2%,0%,6%,15%,15%,13%,6%,19%,13%,16%
Bandhan Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,3,5967.14,2%,0%,6%,14%,14%,12%,5%,18%,12%,15%
PGIM India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,2,5633.11,1%,1%,2%,9%,12%,10%,2%,21%,20%,
PGIM India Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,2,5633.11,1%,1%,2%,8%,11%,9%,0%,19%,18%,
HDFC Index Fund - S&P BSE Sensex Plan - Direct Plan,Direct Plan,Index Funds/ETFs,4,5493.12,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
HDFC Index Fund - S&P BSE Sensex Plan (Post Addendum),Regular,Index Funds/ETFs,3,5493.12,1%,1%,1%,6%,9%,7%,5%,16%,14%,13%
Sundaram Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,5313.08,2%,2%,5%,14%,17%,15%,7%,23%,16%,18%
Sundaram Large and Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,2,5313.08,2%,2%,5%,14%,15%,14%,5%,21%,15%,17%
ICICI Prudential Nifty 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,3,5310.26,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
ICICI Prudential Nifty 50 Index Fund - Growth,Regular,Index Funds/ETFs,3,5310.26,1%,0%,1%,8%,9%,8%,5%,16%,14%,13%
Tata Large & Mid Cap Fund - Direct Plan - Appreciation,Direct Plan,Large & Mid Cap Fund,3,5248.36,1%,0%,2%,11%,14%,14%,12%,22%,18%,17%
Tata Large & Mid Cap Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,3,5248.36,1%,0%,2%,11%,13%,13%,10%,21%,17%,16%
SBI Nifty Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,3,5088.94,1%,0%,1%,8%,10%,8%,5%,17%,14%,13%
SBI Nifty Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,3,5088.94,1%,0%,1%,8%,9%,7%,5%,16%,14%,13%
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,1,4980.66,1%,0%,4%,14%,17%,14%,0%,17%,14%,17%
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,1,4980.66,1%,0%,4%,14%,16%,13%,1%,16%,13%,16%
Nippon India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,-,4844.70,2%,2%,6%,19%,23%,22%,10%,,,
Nippon India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,-,4844.70,2%,2%,6%,18%,22%,20%,8%,,,
Aditya Birla Sun Life Small cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,1,4579.81,2%,2%,8%,25%,33%,33%,11%,30%,16%,20%
Aditya Birla Sun Life Small cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,1,4579.81,2%,2%,8%,25%,31%,31%,10%,29%,15%,18%
ICICI Prudential MidCap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,2,4252.41,2%,2%,8%,19%,19%,18%,9%,28%,18%,21%
ICICI Prudential MidCap Fund - Growth,Regular,Mid Cap Fund,2,4252.41,2%,2%,8%,19%,18%,17%,8%,27%,17%,20%
Aditya Birla Sun Life Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,4252.01,2%,1%,8%,23%,28%,24%,9%,28%,17%,19%
Aditya Birla Sun Life Midcap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,4252.01,2%,1%,8%,22%,27%,23%,8%,27%,15%,18%
SBI Nifty Bank ETF,Regular,Index Funds/ETFs,-,4109.36,1%,0%,0%,1%,4%,5%,8%,16%,11%,
